
SCHEDULE A.-List of subscribers to the million and a quarter loan placed in the bands of the Committee of Public Safety for the defense of New Orleans against the United States, and expended by them, except some $38,000.

 Sums	 Sums assessed

 subscribed to	 to relieve the

Names.	 aid treason	 poor by the

 against the	 United States.

 United States.

Abat, Generes &amp; Co.	 $210,000	 $52,500 00

Jonathan Montgomery	 40,000	 10,000 00

Thomas Sloo, president Sun	 50,000	 21,500 00

Insurance Company

C. C. Gaines	 2,000	 500 00

C. C. Gaines & Co.	 3,000	 750 00

Trustees McDonogh school fund	 340,000	 85,000 00

J. B. Slawson	 10,000	 2,500 00

S. H. Wood	 5,000	 1,250 00

Mrs. S. H. Wood	 2,000	 500 00

Jacques Lange	 7,000	 1,750 00

Widow W. P. Welham	 10,000	 2,500 00

Robert Geddes	 10,000	 2,500 00

Widow Vogel	 20,000	 5,000 00

J. Lewis & Co.	 10,000	 2,500 00

Samuel Harby	 14,000	 3,700 00

Citizens' Bank of Louisiana	 306,400	 76,600 00

Giquel & Jamison	 7,500	 1,875 00

E. Booth	 400	 100 00

Edward Chapman	 8,000	 2,000 00

Thomas Layton	 1,000	 250 00

D. J. Beagnot	 2,000	 500 00

B. Dryer & Co.	 1,000	 250 00

W. H. Pierson	 3,000	 750 00

Samuel Looke	 10,000	 2,500 00

Hartry & Wintry	 5,000	 1,250 00

Southern Bank	 10,000	 2,500 00

Richard & Co.	 10,000	 2,500 00

Dr. B. Moss	 3,000	 750 00

J. & J. C. Davidson	 20,000	 5,000 00

Dque Lanata	 9,000	 2,250 00

H. Samorny	 1,000	 250 00

R. Turney	 1,500	 375 00

R. D. Maclin	 2,500	 625 00

J. H. Cohen	 3,000	 750 00

Mrs. C. A. Slocomb	 5,500	 1,375 00

Committee of Public Safety	 865	 216 25

H. Lee	 150	 37 50

George Zickendrath	 200	 50 00

Hyde & Goodrich	 1,000	 250 00

Magee, Horten & George	 500	 125 00

Samuel Loeb	 100	 25 00

Valentine Heerman	 1,000	 250 00

S. S. Bickler	 250	 62 50

John M. Demerest	 100	 25 00

Thomas O'Donnell	 50	 12 50

Mrs. B. V. B. McMahon	 50	 12 50

W. H. Letchford	 1,000	 250 00

O. F. Thresman	 50	 12 50

Frederick Baner	 725	 181 25

John Rickson	 250	 62 50

McStea, Value & Co.	 1,000	 250 00

Jacob Zoelly	 1,000	 250 00

T. Laford	 500	 125 00

E. Creswell	 100	 25 00

H. H. O'Meallie	 50	 12 00

Joseph Field	 1,000	 250 00

Jules Dona D. Amanon	 150	 37 50

John Farrell	 150	 37 50

D. H. Holmes	 2,500	 625 00

S. P. Lamon	 300	 75 00

Fanny Hollander	 100	 25 00

J. W. Stanton, & Co.	 500	 125 00

John H. Randolph	 500	 125 00

Harriet Morgan	 175	 43 75

Rachel Morgan	 125	 31 25

Sarah Morgan	 175	 43 75

Elizabeth Morgan	 150	 37 50

Mary M. Morgan	 50	 12 50

Margaret Harrod	 50	 12 50

Davis Brothers	 200	 50 00

Trustees Fink Asylum fund	 55,000	 13,750 00

William Massey	 300	 75 00

