
RECAPITULATION.

Taken from Indians.

Month.	 Sheep.	 Horses.	 Mules.	 Cattle.	 Burros.

1863.	 ---	 ---	 ---	 ---	 ---

January

January	 ---	 ---	 ---	 ---	 ---

January	 ---	 ---	 ---	 ---	 ---

January	 ---	 ---	 ---	 ---	 ---

January	 ---	 ---	 34	 ---	 ---

January	 ---	 3	 ---	 ---	 ---

February	 ---	 ---	 ---	 ---	 ---

February	 2,000	 ---	 ---	 ---	 ---

February 25	 ---	 ---	 ---	 ---	 ---

March	 ---	 ---	 ---	 ---	 ---

March	 ---	 ---	 ---	 ---	 ---

March	 2,300	 ---	 ---	 ---	 ---

March	 ---	 --	 ---	 ---	 ---

April	 ---	 ---	 ---	 ---	 ---

May	 ---	 ---	 ---	 ---	 ---

May	 ---	 ---	 ---	 ---	 ---

May	 ---	 7	 ---	 ---	 ---

May	 ---	 ---	 ---	 ---	 ---

May	 ---	 3	 ---	 50	 ---

May	 ---	 ---	 ---	 ---	 ---

June	 ---	 ---	 ---	 ---	 ---

June	 ---	 ---	 ---	 ---	 ---

June	 ---	 ---	 ---	 ---	 ---

June	 ---	 ---	 ---	 ---	 ---

July	 ---	 --- 	 ---	 ---	 ---

July	 ---	 ---	 104	 ---	 ---

July	 ---	 4	 ---	 ---	 ---

July	 ---	 ---	 ---	 ---	 ---

July	 ---	 ---	 ---	 ---	 ---

July	 ---	 ---	 ---	 ---	 ---

July	 ---	 2	 6	 ---	 ---

July	 ---	 ---	 ---	 ---	 ---

August	 ---	 ---	 ---	 ---	 ---

August	 ---	 22	 ---	 ---	 ---

August	 2,000	 30	 ---	 ---	 ---

August	 100	 20	 2	 ---	 ---

August	 1,800	 ---	 ---	 --- 	 ---

August	 ---	 ---	 18	 ---	 ---

August	 ---	 ---	 ---	 ---	 ---

August	 ---	 ---	 ---	 ---	 ---

August	 ---	 ---	 ---	 ---	 ---

August	 ---	 ---	 ---	 ---	 ---

