
Private Joseph Taylor, Co. C.

Private Daniel Thompson, Co. C.

Corpl. Edward Alton, Co. D.

Private John Dillon, Co. D.

Private John Fee, Co. D.

Private Jos. A. Gardner, Co. D.

Sergt. Nicholas Schue, Co. E.

Sergt. Richard Croley, Co. E.

Corpl. Robert C. Barry, Co. E.

Corpl. Leonard L. Dugal, Co. E.

Private Jacob Brown, Co. E.

Private Frederick Hanns, Co. E.

Private George W. Howland, Co. E.

Private Michael Murphy, Co. E.

Private Charles F. Oedekoven, Co. E.

Private F. F. F. Pfieffer, Co. E.

Private Andrew Reagan, Co. E.

Private Frederick Schuh, Co. E.

Private August Wilson, Co. E.

Private James Cosgrove, Co. F.

Private Patrick Leach, Co. F.

Private Henry E. Phinney, Co. F.

Sergt. Charles B. Hutchings, Co. G.

Sergt. John W. Bradley, Co. G.

Sergt. Francis Huxford, Co. G.

Corpl. Moses Gay, Co. G.

Corpl. Louis Feotish, Co. G.

Corpl. Edmund Bogue, Co. G.

Private Timothy Allen, Co. G.

Private George I. Austin, Co. G.

Private John Brand, Co. G.

Private Octave Ceressolle, Co. G.

Private Charles Culver, Co. G.

Private James Gay, Co. G.

Private Albert Hopkins, Co. G.

Private John Hunt, Co. G.

Private Henry A. Hurlburt, Co. G.

Private Asahel Ingraham, Co. G.

Private Jeremy T. Jordan, Co. G.

Private Michael Kearney, Co. G.

Private Joseph Kemple, Co. G.

Private William M. Maynard, Co. G.

Private John McKeon, Co. G.

Private Daniel Moore, Co. G.

Private Timothy O'Connell, Co. G.

Private Henry Robinson, Co. G.

Private Anton Schlosser, Co. G.

Private Martin J. Shaden, Co. G.

Private Martin Sheer, Co. G.

Private Charles Sidders, Co. G.

Private John Suarman, Co. G.

Private Sebree W. Tinker, Co. G.

Sergt. William H. Huntley, Co. H.

Sergt. Dennis Doyle, Co. H.

Sergt. Herman W. Bailey, Co. H.

Private Philo Andrews, Co. H.

Private Niram Blackman, Co. H.

Private John Blake, Co. H.

Private Frank Patterson, Co. H.

Private George H. Twitchell, Co. H.

Sergt. Abner N. Sterry, Co. I.

Sergt. Samuel Taylor, Co. I.

Sergt. E. Sauter, Co. I.

Private Michael Burke, Co. I.

Private James Dillon, Co. I.

Private Thomas McGee, Co. I.

Sergt. Miles J. Beecher, Co. K.

Sergt. George A. Winslow, Co. K.

Sergt. Charles E. Humphrey, Co. K.

Corpl. Herman Saunders, Co. K.

Corpl. Herbert C. Baldwin, Co. K.

Corpl. John Nugent, Co. K.

Corpl. Robert Hollinger, Co. K.

Private John Bennett, Co. K.

Private Benjamin E. Benson, Co. K.

Private Frank C. Bristol, Co. K.

Private William Call, Co. K.

Private George Clancy, Co. K.

Private William J. Cojer, Co. K.

Private Thomas Duffy, Co. K.

Private Edward Ellison, Co. K.

Private Thomas Griffin, Co. K.

Private Patrick Mahoney, Co. K.

Private Thomas Morris, Co. K.

Private Richard O'Donnell, Co. K.

Private George C. Russell, Co. K.

Private Bernard Stanford, Co. K.

Private John Storey, Co. K.

Private Bartley Tiernon, Co. K.

TWENTY-FIFTH CONNECTICUT.

Lieutenant Henry C. Ward (adjutant).

Lieutenant Henry H. Goodell, Co. F.

Sergt. Major Charles F. Ulrich.

Private Samuel Schlesinger, Co. F.

FIRST LOUISIANA.

Captain J. R. Parsons, Co. I.

Lieutenant C. A. Tracy, Co. I.

Sergt. Michael H. Dunn, Co. I.

Sergt. James York, Co. I.

Sergt. George McGraw, Co. I.

Corpl. Henry Carle, Co. I.

Corpl. John Emperor, Colonel I.

Corpl. Jos. A. Scovell, Co. I.

Corpl. John Lower, Co. I.

Private Charles Baker, Co. I.

Private Richard Balshaw, Co. I.

Private Patrick Brennan, Co. I.

Private Jos. Briggs, Co. I.

Private Leonard Demarquis, Co. I.

Private John Fahy, Co. I.

Private John Hunt, Co. I.

Private Herny Kathra, Colonel I.

Private Alex. Kiah, Co. I.

Private James Manahan, Co. I.

Private John Reas, Co. I.

Private Joseph Reaman, Co. I.

Private Jerry Rourke, Co. I.

Private James Smith, Co. I.

SECOND LOUISIANA.

Captain William Smith, Co. H.

Private Lewis Diemert, Co. A.

Private Henry Mayo, Co. A.

Private Frederick A. Nurmon, Co. A.

