
SIXTEENTH NEW HAMPSHIRE.

Captain John L. Rice, Co. H.

Lieutenant Edgar E. Adams, Co. F.

Lieutenant Edward J. O'Donnell, Co. C.

Corpl. Daniel C. Dacey, Co. A.

Private Edward J. Wiley, Co. B.

Corpl. Clinton Bohannon, Co. C.

Private Asa Burgess, Co. C.

Corpl. William A. Rand, Co. K.

Private Rufus L. Jones, Co. K.

SEVENTY-FIFTH NEW YORK.

Private Edson V. R. Blakeman, Co. B.

Private Levi Coppernoll, Co. B.

Private Lenox Kent, Co. B.

Private Martin Norton, Co. I.

NINETIETH NEW YORK.

Captain Honore De La Paturelle, Co. E.

Sergt. Henry M. Crydenwise, Co. A.

Corpl. John Neill, Co. F.

Private Martin McNamara, Co. F.

Private John McCormick, Co. F.

Private James Proctor, Co. F.

Private George Wilson, Co. G.

Private Christopher Autenreith, Co. K.

Private John Heron, Co. K.

Private Amos Maker, Co. K.

Private Nelson Root, Co. K.

NINETY-FIRST NEW YORK.

Private Samuel Webster, Co. A.

Sergt. James A. Shattuck, Co. B.

Private James T. McCollum, Co. B.

Sergt. Edward R. Cone, Co. C.

Corpl. Platt F. Vincent, Co. C.

Private Edwin De Frate, Co. C.

Corpl. Charles E. Bowless, Co. E.

Private Jos. C. Wallace, Co. E.

ONE HUNDRED AND SIXTEENTH NEW YORK.

Corpl. Frank Bentley, Co. A.

Private Isaac Colvin, Co. A.

Private Andrew Cook, Co. A.

Private Daniel Covensparrow, Co. A.

Private Philip Linebits, Co. A.

Private Jacob Bergtold, Co. B.

Private Sylvester Glass, Co. B.

Corpl. George W. Hammond, Co. C.

Private Henry D. Daniel, Co. C.

Private Charles Fisher, Co. C.

Private Frederick Hildebrand, Co. C.

Private Christian Grawi, Co. D.

Private William W. McCumber, Co. D.

Private Cornelius Fitzpatrick, Co. E.

Private James Gallagher, Co. E.

Private Theodore Hansell, Co. E.

Private Thomas Maloney, Co. E.

Private Henry C. Miller, Co. E.

Private Frederick Webber, Co. E.

Corpl. Joshua D. Baker, Co. F.

Private Jacob Demerly, Co. F.

Private Frederick Jost, Co. G.

Private William Martin, Co. G.

Private Samuel Whitmore, Co. G.

Private Jacob Tschole, Co. H.

Private Jacob Zumstein, Co. H.

Private Philip Mary, Co. I.

Corpl. Albert D. Prescot, Co. K.

Private Nicholas Fedick, Co. K.

ONE HUNDRED AND TWENTY-EIGHTH NEW YORK.

Captain Francis S. Keese, Co. C.

Sergt. Theo. W. Krafft, Co. A.

Sergt. Freeman Skinner, Co. A.

Corpl. Milo P. Moore, Co. A.

Private Jos. M. Downing, Co. A.

Private John N. Hague, Co. A.

Private James Mosherman, Co. A.

Private Jos. C. Mosher, Co. A.

Private Freeman Ostrander, Co. A.

Sergt. Charles W. McKown, Co. C.

Sergt. Henry A. Brundage, Co. C.

Sergt. John H. Hagar, Co. C.

Corpl. Clement R. Dean, Co. C.

Corpl. David H. Haunaburgh, Co. C.

Corpl. Elijah D. Morgan, Co. C.

Corpl. George F. Simmons, Co. C.

Private Albert Cole, Co. C.

Private George Cronk, Co. C.

Private Edward Delamater, Co. C.

Private Albert P. Felts, Co. C.

Private Charles Murch, Co. C.

Private Daniel Neenan, Co. C.

Private George A. Norcutt, Co. C.

Private John R. Schriver, Co. C.

Private John L. Delamater, Co. D.

Private William Platto, Co. D.

Private Charles P. Wilson, Co. D.

Corpl. Charles Brower, Co. F.

Private Charles F. Appleby, Co. I.

Private Stephen H. Moore, Co. I.

Corpl. Sylvester Brewer, Co. K.

Private Thomas Rice, Co. K.

