
Abstract of provisions issued to Federal prisoners of war at Danville, Va., in the quarter ending March 31, 1864, by Mason Morfit, major and quartermaster.

Date. 	 Prisoners.	 Salt pork	 Fresh	 Flour. 	 Corn-

 	 and bacon	 and salt	 	 meal.

 	 	 beef.

1864. 	 Number. 	 Pounds. 	 Pounds. 	 Pounds.	 Pounds.

Feb. 1	 3,346	 ---	 3,346	 ---	 4,162

2	 3,365 	 ---	 3,365	 ---	 4,162

3	 3,368	 ---	 3,368	 ---	 4,162

4	 3,367	 ---	 3,285	 ---	 4,231

5	 3,370	 1, 1231/3	 ---	 ---	 4,226

6	 3,380	 1, 1262/3	 ---	 ---	 4,225

7	 3,371	 1, 1232/3	 ---	 2,347	 1,454

8	 3,364	 1, 1211/3	 ---	 ---	 4,205

9	 3,361	 1, 1201/3	 ---	 1,176	 3,037

10	 3,457	 1, 1521/3	 ---	 1,021	 3,300

11	 3,461	 ---	 3,429	 ---	 4,326

12	 3,457	 1, 1521/3	 ---	 ---	 4,321

13	 3,448	 1,117	 ---	 ---	 4,310

14	 3,444	 1, 0612/3	 259	 ---	 4,305

15	 3,437	 1, 1452/3	 ---	 ---	 4,296

16	 3,433	 1, 1441/3	 ---	 ---	 4,291

17	 3,466	 ---	 ---	 ---	 4,332

18	 3,465	 2201/3	 2,804	 ---	 4,331

19	 3,452	 ---	 ---	 ---	 4,315

20	 3,445	 1, 1481/3	 ---	 ---	 4,306

21	 3,439	 1, 1461/3	 ---	 ---	 4,298

22	 3,432	 1,144	 ---	 ---	 4,290

23	 3,412	 1, 1371/3	 ---	 ---	 4,265

24	 3,434	 1, 1442/3	 ---	 ---	 4,292

25	 3,434	 1, 1442/3	 ---	 ---	 4,292

26	 3,441	 1,147	 ---	 ---	 4,301

27	 3,433	 1, 1441/3	 ---	 3,862	 ---

28	 3,385	 1, 1281/3	 ---	 ---	 4,231

29	 3,385	 1, 1281/3	 ---	 ---	 4,231

March 1	 3,382	 1, 1271/3	 ---	 3,804	 ---

2	 3,376	 1, 1251/3	 ---	 3,798	 ---

3	 3,374	 1, 1242/3	 ---	 3,795	 ---

4	 3,369	 1,123	 ---	 ---	 4,211

5	 3,355	 1, 1181/3	 ---	 ---	 4,193

6	 3,351	 1,117	 ---	 ---	 4,188

7	 3,345	 1,115	 ---	 ---	 4,181

8	 3,348	 ---	 ---	 3,766	 ---

9	 3,362	 1, 1202/3	 --- 	 3,782	 ---

10	 3,351	 1,117	 ---	 3,769	 ---

11	 3,353	 ---	 ---	 ---	 4,191

12	 3,332	 1, 1102/3	 ---	 ---	 4,165

13	 3,323	 1, 1072/3	 ---	 ---	 4,153

14	 3,316	 ---	 ---	 ---	 4,145

15	 3,307	 ---	 ---	 ---	 4,133

16	 3,298	 ---	 ---	 ---	 4,122

17	 3,306	 1,102	 ---	 ---	 4,132

18	 3,298	 1, 0991/3	 ---	 ---	 4,122

19	 3,284	 1, 0942/3	 ---	 ---	 4,105

20	 3,265	 1, 0881/3	 ---	 ---	 4,081

21	 3,256	 1, 0851/3	 ---	 ---	 4,070

22	 3,239	 ---	 ---	 ---	 4,048

23	 3,239	 1, 0792/3	 ---	 ---	 4,048

24	 3,239	 ---	 ---	 ---	 4,048

25	 3,171	 ---	 ---	 ---	 3,963

26	 3,173	 ---	 ---	 ---	 3,966

27	 3,147	 1,049	 ---	 ---	 3,933

28	 3,147	 1,049	 ---	 ---	 3,933

29	 3,130	 1, 0431/3	 ---	 ---	 3,912

30	 3,130	 1, 0431/3	 ---	 ---	 3,912

31	 3,104	 ---	 3,104	 ---	 3,880

Total	 200,722	 47,063	 22,960	 31,120	 216,332

Date. 	 Peas. 	 Salt. 	 Rice. 	 Soap. 	 Cabbage

1864. 	 Bushels.	 Pounds. 	 Pounds. 	 Pounds. 	 Heads.

Feb. 1	 ---	 ---	 330	 ---	 ---

2	 ---	 130	 330	 ---	 ---

3	 ---	 130 	 330	 ---	 ---

4	 ---	 135	 330	 ---	 ---

5	 ---	 130	 330	 ---	 ---

6	 ---	 130	 330	 ---	 ---

7	 ---	 130	 ---	 ---	 3,202

8	 ---	 100	 330	 ---	 ---

9	 8	 100	 ---	 ---	 ---

10	 8	 100	 ---	 ---	 ---

11	 8	 62	 ---	 ---	 ---

12	 ---	 129	 347	 ---	 ---

13	 ---	 128	 347	 ---	 ---

14	 8	 124	 ---	 ---	 ---

15	 ---	 129	 347	 ---	 ---

16	 8	 129	 ---	 ---	 ---

17	 8	 129	 ---	 ---	 ---

18	 8	 130	 ---	 ---	 ---

19	 8	 130	 ---	 ---	 ---

20	 ---	 128	 ---	 ---	 ---

21	 8	 130	 ---	 ---	 ---

22	 8	 130	 ---	 ---	 ---

23	 ---	 130	 330	 200	 ---

24	 ---	 130	 330	 ---	 ---

25	 ---	 130	 ---	 ---	 ---

26	 ---	 130	 ---	 ---	 ---

27	 ---	 135	 ---	 ---	 ---

28	 ---	 135	 ---	 ---	 ---

29	 ---	 135	 330	 ---	 ---

March 1	 ---	 135	 330	 ---	 ---

2	 ---	 135	 330	 ---	 ---

3	 ---	 135	 330	 ---	 ---

4	 ---	 135	 330	 ---	 ---

5	 ---	 135	 330	 ---	 ---

6	 ---	 135	 330	 ---	 ---

7	 8	 135	 ---	 ---	 ---

8	 8	 135	 ---	 ---	 ---

9	 8	 135	 ---	 ---	 ---

10	 8	 135	 ---	 ---	 ---

11	 8	 135	 ---	 ---	 ---

12	 8	 135	 ---	 ---	 ---

13	 8	 ---	 ---	 ---	 ---

14	 13	 135	 ---	 ---	 ---

15	 8	 135	 ---	 ---	 ---

16	 14	 135	 ---	 ---	 ---

17	 8	 135	 ---	 ---	 ---

18	 8	 135	 ---	 ---	 ---

19	 8	 135	 ---	 ---	 ---

20	 8	 135	 ---	 ---	 ---

21	 8	 135	 ---	 ---	 ---

22	 14	 135	 ---	 ---	 ---

23	 ---	 ---	 430	 200	 ---

24	 ---	 135	 330	 ---	 ---

25	 ---	 ---	 733	 ---	 ---

26	 ---	 135	 734	 ---	 ---

27	 ---	 ---	 315	 ---	 ---

28	 ---	 135	 315	 ---	 ---

29	 ---	 135	 315	 ---	 ---

30	 ---	 ---	 315	 130	 ---

31	 ---	 65	 305	 ---	 ---

Total	 225	 6,928 	 10,113	 530	 3,202

I certify that the above abstract is correct.

MASON MORFIT,

Major and Quartermaster.

