
[Inclosure No. 2.-Continued.] Abstract of the annual returns of arms, accouterments, and ammu-

Ordnance and ordnance stores.

States and	 Spare	 Ball	 Carbin	 Rifles

Territories.	 flints	 cartridges	 es

Maine	 --	 ---	 61	 509

New Hampshire	 6,000	 ---	 --	 1,846

Massachusetts	 --	 106,000	 --	 391

Vermont	 16,889	 ---	 --	 174

Rhode Island	 220	 150	 --	 161

Connecticut	 --	 6,000 	 --	 335

New York	 --	 ---	 --	 2,002

New Jersey	 --	 ---	 --	 764

Pennsylvania a	 --	 ---	 --	 ----

Delaware	 --	 ---	 --	 79

Maryland a	 --	 ---	 --	 ----

Virginia	 --	 267,917	 725	 4,838

North Carolina	 --	 ---	 --	 16,072

South Carolina	 --	 ---	 --	 1,190

Georgia	 3,000	 10,036	 --	 1,782

Florida a	 --	 ---	 --	 ----

Alabama	 --	 ---	 --	 20,000

Louisiana a	 --	 ---	 --	 ----

Mississippi a	 --	 ---	 --	 ----

Tennessee	 5,000	 b35	 --	 18,965

Kentucky	 221	 ---	 --	 2,077

Ohio a	 --	 ---	 --	 ----

Michigan	 --	 ---	 40	 330

Indiana	 10,000	 ---	 --	 8,200

Illinois a	 --	 ---	 --	 ----

Wisconsin	 --	 ---	 --	 680

Iowa a	 --	 ---	 --	 ----

Missouri	 --	 ---	 --	 5,025

Arkansas	 --	 ---	 --	 ----

Texas a	 --	 ---	 --	 ----

California a	 --	 ---	 --	 ----

Minnesota	 --	 ---	 --	 348

Oregon a	 --	 ---	 --	 ----

Washington	 --	 ---	 --	 ----

Territory a

Nebraska Territory	 --	 ---	 --	 ----

a

Kansas Territory a	 --	 ---	 --	 ----

Territory of Utah	 --	 ---	 --	 ----

Territory of N.	 --	 ---	 --	 ----

Mexico a

District of	 --	 ---	 --	 225

Columbia

Grand aggregate	 41,330	 390,138	 826	 84,993

Ordnance and ordnance stores.

States and	 Cantee	 Cap pouches	 Pouches	 Bullet

Territories.	 ns	 	 	 molds

Maine	 --	 738	 414	 25

New Hampshire	 --	 ---	 ---	 --

Massachusetts	 --	 3,915 	 ---	 --

Vermont	 --	 ---	 1,595	 --

Rhode Island	 --	 ---	 46	 28

Connecticut	 --	 1,920	 ---	 --

New York	 --	 7,225	 ---	 --

New Jersey	 --	 ---	 94	 --

Pennsylvania a	 --	 ---	 ---	 --

Delaware	 --	 ---	 ---	 --

Maryland a	 --	 ---	 ---	 --

Virginia	 --	 ---	 111	 123

North Carolina	 --	 ---	 ---	 --

South Carolina	 --	 ---	 ---	 --

Georgia	 --	 ---	 123	 --

Florida a	 --	 ---	 ---	 --

Alabama	 --	 ---	 ---	 --

Louisiana a	 --	 ---	 ---	 --

Mississippi a	 --	 ---	 ---	 --

Tennessee	 --	 ---	 ---	 --

Kentucky	 --	 ---	 1,736	 --

Ohio a	 --	 ---	 ---	 --

Michigan	 --	 ---	 ---	 --

Indiana	 --	 ---	 ---	 --

Illinois a	 --	 ---	 ---	 --

Wisconsin	 --	 ---	 480	 --

Iowa a	 --	 ---	 ---	 --

Missouri	 --	 ---	 3,561	 --

Arkansas	 --	 ---	 ---	 --

Texas a	 --	 ---	 ---	 --

California a	 --	 ---	 ---	 --

Minnesota	 --	 1,605	 ---	 --

Oregon a	 --	 ---	 ---	 --

Washington Territory	 --	 ---	 ---	 --

a

Nebraska Territory a	 --	 ---	 ---	 --

Kansas Territory a	 --	 ---	 ---	 --

Territory of Utah	 --	 ---	 ---	 --

Territory of N.	 --	 ---	 ---	 --

Mexico a

District of Columbia	 --	 158	 225	 --

Grand aggregate	 --	 15,561	 8,385	 176

Ordnance and ordnance stores.

States and	 Screw-	 Gun	 Loose	 Pounds

Territories.	 drivers	 slings	 balls	 of

and	 	 	 rifle

wipers	 	 	 powder

Maine	 790	 1,221	 ---	 ---

New Hampshire	 ---	 ---	 ---	 ---

Massachusetts	 ---	 ---	 7,000	 100

Vermont	 ---	 ---	 ---	 ---

Rhode Island	 102	 ---	 ---	 ---

Connecticut	 ---	 ---	 11	 ---

New York	 ---	 ---	 ---	 ---

New Jersey	 ---	 ---	 ---	 ---

Pennsylvania a	 ---	 ---	 ---	 ---

Delaware	 ---	 ---	 ---	 ---

Maryland a	 ---	 ---	 ---	 ---

Virginia	 1,196 	 ---	 ---	 ---

North Carolina	 ---	 ---	 ---	 ---

South Carolina	 ---	 ---	 ---	 ---

Georgia	 ---	 ---	 ---	 3,000

Florida a	 ---	 ---	 ---	 ---

Alabama	 ---	 ---	 ---	 ---

Louisiana a	 ---	 ---	 ---	 ---

Mississippi a	 ---	 ---	 ---	 ---

Tennessee	 ---	 ---	 ---	 c208

Kentucky	 ---	 ---	 6,158	 237

Ohio a	 ---	 ---	 ---	 ---

Michigan	 ---	 40	 ---	 ---

Indiana	 ---	 ---	 48,000 	 1,200

Illinois a	 ---	 ---	 ---	 ---

Wisconsin	 ---	 ---	 ---	 ---

Iowa a	 ---	 ---	 ---	 ---

Missouri	 ---	 ---	 ---	 ---

Arkansas	 ---	 ---	 ---	 ---

Texas a	 ---	 ---	 ---	 ---

California a	 ---	 ---	 ---	 ---

Minnesota	 ---	 1,475	 ---	 ---

Oregon a	 ---	 --- 	 ---	 ---

Washington	 ---	 ---	 ---	 ---

Territory a

Nebraska Territory	 ---	 ---	 ---	 ---

a

Kansas Territory a	 ---	 ---	 ---	 ---

Territory of Utah	 ---	 ---	 ---	 ---

Territory of N.	 ---	 ---	 ---	 ---

Mexico a

District of	 ---	 351	 ---	 ---

Columbia

Grand aggregate	 2,088	 3,087	 61,169 	 4,745

a No return of arms from these States.

b Kegs.

c Flasks.

