
Furnished:

Under calls of 1861 -

48 regiments of infantry............................... 47,889

3 regiments of cavalry................................. 3,009

18 batteries of artillery (1st to 17th, and Rigby's) 1861, 3,355

7 batteries of artillery (18th to 25th) 1862,
Recruits up to date for all arms of service............ 2,483

Under call for 300,000 volunteers, 1862 -

28 regiments of infantry............................... 26,015

2 regiments of cavalry................................ 2,309

7 batteries of artillery............................... None.

------

-

85,060

2 regiments for twelve months, 1861.................... 1,698

NINE-MONTHS.

Due: Under call 300,000 militia (General Orders, Numbers 94, 1862). 21,250 Furnished............................................... None.

------

-

Deficiency.............................................. 21,250

the above statement is made from the muster-rolls on file in this office up to date.

THREE-YEARS.

Arm of service.	 Infantry.	 Cava	 Artil	 Sharpsh-	 Total

l-ry.	 l-ery.	 ooters.	 amount.

1861.

6th Regiment	 1,049	 .	 .	 .	 .

7th Regiment	 1,016	 .	 .	 .	 .

8th Regiment	 1,043	 ..	 .	 .	 .

9th Regiment	 1,048	 ..	 .	 .	 .

10th Regiment	 977	 .	 .	 .	 .

11th Regiment 	 1,048	 .	 .	 .	 .

12th Regiment	 944	 .	 .	 .	 .

13th Regiment	 1,047	 .	 .	 .	 .

14th Regiment	 1,045	 .	 .	 .	 .

15th regiment	 1,147	 .	 .	 .	 .

17th Regiment	 1,128	 .	 .	 .	 .

18th Regiment	 1,046	 .	 .	 .	 .

19th Regiment	 1,048	 .	 .	 .	 ..

20th Regiment	 1,047	 .	 .	 .	 .

21st Regiment	 1,048	 .	 .	 .	 .

22nd Regiment	 1,047	 .	 .	 .	 .

23rd Regiment	 1,047	 .	 .	 .	 .

24th Regiment	 1,048	 .	 .	 .	 .

25th Regiment	 1,046	 .	 .	 .	 .

26th Regiment 	 1,023	 .	 .	 .	 .

27th Regiment	 1,022	 .	 .	 .	 .

29th Regiment	 907 	 .	 .	 .	 .

30th Regiment	 1,004	 .	 .	 .	 .

31st Regiment	 1,035	 .	 .	 .	 .

32nd Regiment	 918	 .	 .	 .	 .

33rd Regimen	 	 972	 .	 .	 .	 .

34th Regiment 	 910	 .	 .	 .	 .

35th Regiment	 786	 .	 .	 .	 .

36th Regiment	 1,025	 .	 .	 .	 .

37th Regiment	 977	 .	 .	 .	 .

38th Regiment	 983	 .	 .	 .	 .

39th Regiment	 1,004	 .	 ..	 .	 .

40th Regiment	 887	 .	 .	 .	 .

42nd Regiment 	 1,014	 .	 .	 .	 .

43rd Regiment	 978	 ..	 .	 .	 .

44th Regiment	 928	 .	 .	 .	 .

46th Regiment	 965	 .	 .	 .	 .

47th Regiment	 956	 .	 .	 .	 .

48th Regiment	 983	 .	 .	 .	 .

49th Regiment	 971 	 .	 .	 .	 .

