
THREE-YEARS-Continued.

Arm of service.	 Infantry.	 Cavalry.	 Artillery.	 Hoffman

Battalion.

1861.

893 	 ---	 ---	 ---

49th Regiment

50th Regiment	 979	 ---	 ---	 ---

51st Regiment	 964	 ---	 ---	 ---

53rd Regiment	 839	 ---	 ---	 ---

54th Regiment	 754	 ---	 ---	 ---

55th Regiment	 969	 ---	 ---	 ---

56th Regiment	 869	 ---	 ---	 ---

57th Regiment	 942	 ---	 ---	 ---

58th Regiment	 872	 ---	 ---	 ---

59th Regiment	 918	 ---	 ---	 ---

61st Regiment	 898	 ---	 ---	 ---

62nd Regiment	 949	 ---	 ---	 ---

63rd Regiment	 900	 ---	 ---	 ---

64th Regiment	 881	 ---	 ---	 ---

65th Regiment	 913	 ---	 ---	 ---

66th Regiment	 938	 ---	 ---	 ---

67th Regiment	 936	 ---	 ---	 ---

68th Regiment	 887	 ---	 ---	 ---

69th Regiment	 900	 ---	 ---	 ---

70th Regiment	 938	 ---	 ---	 ---

72nd Regiment	 996	 ---	 ---	 ---

73rd Regiment	 888	 ---	 ---	 ---

74th Regiment	 963	 ---	 ---	 ---

75th Regiment	 999	 ---	 ---	 ---

76th Regiment	 927	 ---	 ---	 ---

77th Regiment	 903	 ---	 ---	 ---

78th Regiment	 909	 ---	 ---	 ---

80th Regiment	 877	 ---	 ---	 ---

82nd Regiment	 932	 ---	 ---	 ---

Hoffman 	 ---	 ---	 ---	 379

Battalion

Dennison Guards	 ---	 ---	 ---	 ---

1st Regiment	 ---	 1,037	 ---	 ---

2nd Regiment	 ---	 1,179	 ---	 ---

3rd Regiment	 ---	 1,214	 ---	 ---

4th Regiment	 ---	 989	 ---	 ---

5th Regiment	 ---	 1,059	 ---	 ---

6th Regiment	 ---	 1,138	 ---	 ---

1st Independent 	 ---	 81	 ---	 ---

Company

1st Regiment	 ---	 ---	 1,550	 ---

15 batteries	 ---	 ---	 1,991	 ---

1862.	 971	 ---	 ---	 ---

52nd Regiment

79th Regiment	 931	 ---	 ---	 ---

80th Regiment	 877	 ---	 ---	 ---

81st Regiment	 840	 ---	 --- 	 ---

83rd Regiment	 988	 --- 	 ---	 ---

88th Regiment	 394	 ---	 ---	 ---

89th Regiment	 959	 ---	 ---	 ---

90th Regiment	 971	 ---	 ---	 ---

91st Regiment	 955	 ---	 ---	 ---

92nd Regiment	 890	 ---	 ---	 ---

93rd Regiment	 966	 ---	 ---	 ---

94th Regiment	 955	 ---	 ---	 ---

95th Regiment	 871	 ---	 ---	 ---

96th Regiment	 1,005	 ---	 ---	 ---

97th Regiment	 964	 ---	 ---	 ---

98th Regiment	 981	 ---	 ---	 ---

99th Regiment	 1,021	 ---	 ---	 ---

100th Regiment	 1,011	 ---	 ---	 ---

101st Regiment	 965	 ---	 ---	 ---

102nd Regiment	 1,049	 ---	 ---	 ---

103rd Regiment	 986	 ---	 ---	 ---

104th Regiment	 1,015	 ---	 --- 	 ---

105th Regiment	 1,015	 ---	 ---	 ---

106th Regiment	 710	 ---	 ---	 ---

107th Regiment	 864	 ---	 ---	 ---

108th Regiment	 724	 ---	 ---	 ---

109th Regiment	 101	 ---	 ---	 ---

110th Regiment	 847	 ---	 ---	 ---

111th Regiment	 998	 ---	 ---	 ---

112th Regiment	 275	 ---	 ---	 ---

113th Regiment	 842	 ---	 ---	 ---

114th Regiment	 945	 ---	 ---	 ---

115th Regiment	 968	 ---	 ---	 ---

Arm of service.	 Dennison	 Trumbull	 Sharpshoot	 Total.

Guards.	 Guards.	 ers.

1861.

---	 ---	 ---	 ---

49th Regiment

50th Regiment	 ---	 ---	 ---	 ---

51st Regiment	 ---	 ---	 ---	 ---

53rd Regiment	 ---	 ---	 ---	 ---

54th Regiment	 ---	 ---	 ---	 ---

55th Regiment	 ---	 --- 	 ---	 ---

56th Regiment	 ---	 ---	 ---	 ---

57th Regiment	 ---	 ---	 ---	 ---

58th Regiment	 ---	 ---	 ---	 ---

59th Regiment	 ---	 ---	 ---	 ---

61st Regiment	 ---	 ---	 ---	 ---

62nd Regiment	 ---	 ---	 ---	 ---

63rd Regiment	 ---	 ---	 ---	 ---

64th Regiment	 ---	 ---	 ---	 ---

65th Regiment	 ---	 ---	 ---	 ---

66th Regiment	 ---	 ---	 ---	 ---

67th Regiment	 ---	 ---	 ---	 ---

68th Regiment	 ---	 ---	 ---	 ---

69th Regiment	 ---	 ---	 ---	 ---

70th Regiment	 ---	 ---	 ---	 ---

72nd Regiment	 ---	 ---	 ---	 ---

73rd Regiment	 ---	 ---	 ---	 ---

74th Regiment	 ---	 ---	 ---	 ---

75th Regiment	 ---	 ---	 ---	 ---

76th Regiment	 ---	 ---	 ---	 ---

77th Regiment	 ---	 ---	 ---	 ---

78th Regiment	 ---	 ---	 ---	 ---

80th Regiment	 ---	 ---	 ---	 ---

82nd Regiment	 ---	 ---	 ---	 68,884

Hoffman 	 ---	 ---	 ---	 379

Battaion

Dennison Guards	 90	 ---	 ---	 90

1st Regiment	 ---	 ---	 ---	 ---

2nd Regiment	 ---	 ---	 ---	 ---

3rd Regiment	 ---	 ---	 ---	 ---

4th Regiment	 ---	 ---	 ---	 ---

5th Regiment	 ---	 --- 	 ---	 6,616

6th Regiment	 ---	 ---	 ---	 81

1st Independent 	 ---	 ---	 ---	 1,550

Company

1st Regiment	 ---	 ---	 ---	 1,991

15 batteries	 ---	 ---	 ---	 ---

1862.	 ---	 ---	 ---	 ---

52nd Regiment

79th Regiment	 ---	 ---	 ---	 ---

80th Regiment	 ---	 ---	 ---	 ---

81st Regiment	 ---	 ---	 ---	 ---

83rd Regiment	 ---	 ---	 ---	 ---

88th Regiment	 ---	 ---	 ---	 ---

89th Regiment	 ---	 ---	 ---	 ---

90th Regiment	 ---	 ---	 ---	 ---

91st Regiment	 ---	 ---	 ---	 ---

92nd Regiment	 ---	 ---	 ---	 ---

93rd Regiment	 ---	 ---	 ---	 ---

94th Regiment	 ---	 ---	 ---	 ---

95th Regiment	 ---	 ---	 ---	 ---

96th Regiment	 ---	 ---	 ---	 ---

97th Regiment	 ---	 ---	 ---	 ---

98th Regiment	 ---	 ---	 ---	 ---

99th Regiment	 ---	 ---	 ---	 ---

100th Regiment	 ---	 ---	 ---	 ---

101st Regiment	 ---	 ---	 ---	 ---

