
THREE YEARS-Continued.

Arm of	 Infantry	 Cavalry.	 Artille	 Engineers	 Total.

service.	 	 	 ry.

1861.

1,017	 ---	 ---	 ---	 ---

63rd Regiment

67th Regiment	 815	 ---	 ---	 ---	 ---

68th Regiment	 926	 ---	 ---	 ---	 ---

69th Regiment	 844	 ---	 ---	 ---	 ---

71st Regiment	 1,472	 ---	 ---	 ---	 ---

72nd Regiment	 1,498	 ---	 ---	 ---	 ---

73rd Regiment	 883	 ---	 ---	 ---	 ---

74th Regiment	 734	 ---	 ---	 ---	 ---

75th Regiment	 916	 ---	 ---	 ---	 ---

76th Regiment	 885	 ---	 ---	 ---	 ---

77th Regiment	 907	 ---	 ---	 --- 	 ---

78th Regiment	 967	 ---	 ---	 ---	 ---

79th Regiment	 991	 ---	 ---	 ---	 ---

81st Regiment	 887	 ---	 ---	 ---	 ---

82nd Regiment	 928	 ---	 ---	 ---	 ---

83rd Regiment	 994	 ---	 ---	 ---	 ---

84th Regiment	 946	 ---	 ---	 ---	 ---

85th Regiment	 975	 ---	 ---	 ---	 ---

87th Regiment	 973	 ---	 ---	 ---	 ---

88th Regiment	 908	 ---	 ---	 ---	 ---

90th Regiment	 858 	 ---	 --- 	 ---	 ---

91st Regiment	 884	 ---	 ---	 ---	 ---

93rd Regiment	 960	 ---	 ---	 ---	 ---

95th Regiment	 972	 ---	 ---	 ---	 ---

96th Regiment	 953	 ---	 --- 	 ---	 ---

97th Regiment	 810	 ---	 ---	 ---	 ---

98th Regiment	 924	 ---	 --- 	 ---	 ---

99th Regiment	 932	 ---	 ---	 ---	 ---

100th Regiment	 933	 ---	 --- 	 ---	 ---

101st Regiment	 885	 ---	 ---	 ---	 ---

102nd Regiment	 930	 ---	 ---	 ---	 ---

103rd Regiment	 1,033	 ---	 --- 	 ---	 ---

104th Regiment	 973	 ---	 ---	 ---	 ---

105th Regiment	 921	 ---	 ---	 ---	 ---

106th Regiment	 914	 ---	 ---	 ---	 ---

107th Regiment	 887	 ---	 --- 	 ---	 ---

109th Regiment	 862	 ---	 ---	 ---	 ---

110th Regiment	 893	 ---	 ---	 ---	 ---

111th Regiment	 951	 ---	 ---	 ---	 ---

114th Regiment	 953	 ---	 ---	 ---	 ---

115th Regiment	 769	 ---	 ---	 ---	 69,753

1st Regiment	 ---	 1,044	 ---	 ---	 ---

2nd Regiment	 ---	 974	 ---	 ---	 ---

3rd Regiment	 ---	 1,073	 ---	 ---	 ---

4th Regiment	 ---	 1,008	 --- 	 ---	 ---

5th Regiment	 ---	 1,016	 --- 	 ---	 ---

6th Regiment	 ---	 1,016	 ---	 ---	 ---

7th Regiment	 ---	 962	 ---	 ---	 ---

8th Regiment	 ---	 1,069	 ---	 ---	 ---

9th Regiment	 ---	 1,030	 ---	 ---	 ---

10th Regiment	 ---	 ---	 --- 	 ---	 ---

11th Regiment	 ---	 1,069 	 ---	 ---	 ---

12th Regiment	 ---	 992	 ---	 ---	 ---

13th Regiment	 ---	 956	 ---	 ---	 12,209

1st Regiment	 ---	 ---	 747	 ---	 ---

2nd Regiment	 ---	 ---	 1,070	 ---	 1,817

6 batteries	 ---	 ---	 681	 ---	 681

1862.	 	 ---	 --- 	 ---	 ---

630

116th Regiment

118th Regiment	 1,016	 ---	 ---	 ---	 ---

119th Regiment	 930	 ---	 --- 	 ---	 ---

121st Regiment	 813	 ---	 ---	 ---	 ---

138th Regiment	 906	 ---	 --- 	 ---	 ---

139th Regiment	 953	 ---	 ---	 ---	 ---

140th Regiment	 982	 ---	 ---	 ---	 ---

141st Regiment	 969	 ---	 ---	 ---	 ---

142nd Regiment	 920	 ---	 ---	 ---	 ---

143rd Regiment	 1,014	 ---	 ---	 --- 	 ---

145th Regiment	 988	 ---	 ---	 ---	 ---

147th Regiment	 285	 ---	 ---	 ---	 ---

148th Regiment	 976	 ---	 ---	 ---	 ---

149th Regiment	 916	 ---	 ---	 ---	 ---

150th Regiment	 914	 ---	 ---	 ---	 ---

157th Regiment	 486	 ---	 ---	 ---	 13,698

1 company	 ---	 ---	 ---	 103	 103

