
Numbers 7.- List of vessels owned by the United States, October 15, 1864 - Continued.

Names.	 Class.	 Tonnage.	 Cost.

Adams, John	 Side-wheel	 407	 Unknown.

Balloon	 ..do..	 204	 $12,000

Benton, Mary	 ..do..	 300	 54,000

Baker, Nellie	 ..do..	 320	 44,000

Burnside,	 Propeller	 400 	 45,000

General

Commerce	 Side-wheel	 154.92	 14,000

Cecil	 ..do..	 130	 12,000

City of Albany	 ..do..	 482	 82,000

Collyer,	 ..do..	 446 	 80,000

Thomas

Croton	 ..do..	 396	 30,000

Curlew	 ..do..	 238	 Unknown.

Canonicus	 ..do..	 420 	 50,000

Chasseur	 Propeller	 131.13	 26,500

Convoy	 Side-wheel	 466	 80,000

Decatur,	 ..do..	 296	 24,000

Stephen

Farron, John	 ..do..	 250	 Seized.

Foster	 ..do..	 350	 42,500

Fannie Garner	 Propeller	 149.23	 12,000

Golden Gate	 Side-wheel	 135	 21,000

Hunter. Woodie	 ..do..	 213	 30,000

Jenkins, Hugh	 ..do..	 306.36	 12,000

Island City	 ..do..	 218	 23,000

Kate	 Tug	 35.85	 6,000

Long Island	 Side-wheel	 445	 Unknown.

Lizzie	 Tug	 86	 22,500

Murray, James	 ..do..	 61	 10,000

Manhattan	 Side-wheel	 320	 25,000

Mystic	 ..do..	 200	 18,000

Morse, Ella	 ..do..	 196	 48,000

Mayflower	 ..do..	 274.45	 Unknown.

North State	 Tow-boat	 80	 2,000

Nantasket	 Side-wheel	 285	 42,000

New Monitor	 ..do..	 293	 51,500

Oneoto	 ..do..	 412	 26,000

Oriole	 ..do..	 412	 15,000

Philadelphia	 Propeller	 172	 12,000

Patuxent	 Side-wheel	 265	 16,000

Philadelphia	 ..do..	 341	 24,000

Peconic	 ..do..	 400	 30,000

Perry	 ..do..	 320	 37,500

Parke	 ..do..	 334	 45,519

Picket	 ...do..	 295	 24,850

Planter	 ..do..	 323.25	 Captured.

Relief	 Tug	 70	 10,000

Rescue	 Side-wheel	 227.85	 10,000

Reindeer	 Tug	 46	 8,500

Reno	 Side-wheel	 250	 42,550

Stroud,	 Tug	 106.24	 15,000

William

Sawtelle,	 ..do..	 36.40	 5,000

Captain C. G.

Standish	 Propeller	 109	 8,700

Star	 Side-wheel	 290	 Unknown.

Starlight	 Tug	 70	 10,000

Sentinel	 Propeller	 311.59	 21,500

Suffolk	 Side-wheel	 486	 30,000

Tracy, John	 ..do..	 124.12	 18,000

Thoamsm C. W.	 ..do..	 238	 48,000

Undine	 ..do..	 110	 16,000

Union	 ..do..	 100	 15,400

Vidette	 ..do..	 274.57	 17,750

Tigress	 Tug	 49	 12,000

Winnisimmet	 Side-wheel	 270	 25,000

Wilson	 Tug	 80	 Captured.

Wauwennock	 Stern-wheel	 193	 23,000

Westmoreland	 Side-wheel	 301	 27,000

Zephyr	 ..do..	 394	 36,000

