
Numbers 68.-List officers of the Quatermaster's Department who have been promoted (by brevet) for faithful and meritorious services during the war-Cont"d.

Names.	 Bank.	 Remarks.

C. H. Irvin.	 Brevet colonel.

John H. James.	 do

H. L. Robinson.	 do

Ingham Coryell.	 Brevet

 lieutenant-

 colonel.

G. L. Fort.	 do

G. A. Shallenberger.	 do

E. M. Joel.	 do

J. E. Remington.	 do

A. B. Lawrence.	 do

M. D. Wickersham.	 do

W. H. D. Cochrane.	 do

E. S. Allen	 do

Hiram Hayes.	 do

William Goldie.	 do

A. T. Dunton.	 do

S. H. Manning.	 do

H. B. Blood.	 do

G. B. Cadwalader. 	 do

Gilbert E. Dunbar.	 do

E. J. Strang.	 do

G. A. Pierce.	 do

W. T. Howell.	 do

Hanson Rasin.	 Brever major.

E. C. Reichenbach.	 do

E. B. Kirk.	 do

Thomas B. Hunt.	 do

W. M. Kimball.	 do

George W. Johnes.	 do

H. B. Lacey.	 do

Benjamin Burton.	 do

C. B. Wagner.	 do

Henry Howland.	 do

R. C. Morgan.	 do

Thomas J. Cox.	 do

J. F. Hazelton.	 do

A. Austin.	 do

W. H. Daniels.	 do

M. H. Mandeville.	 do

G. W. Davis.	 do

H. F. Gerrish.	 do

M. H. Alberger.	 do

C. W. Folsom.	 do

W. H. Brown.	 do

H. C. King.	 do

F. Lyon.	 do

W. H. Lambert.	 do

E. P. Farr.	 do

H. C. Lawrence.	 do

C. B. Whittemore.	 do

Harry Brownson.	 do

B. C. Carter.	 do

H. M. Smith.	 do

J. E. Jones.	 do

Alexander Conn.	 do

Fred. Crain.	 do

Charles G. Finney.	 do

J. D. Tredway.	 do

C. M. Sampson.	 do

T. J. Carlile.	 do

C K. Smith.	 do

James Gleason.	 do

J. K. Cilley.	 do

P. Hiestand.	 do

J. C. Mann.	 do

S. B. Bean.	 do

O. O. Potter.	 do

E. D. Chapman.	 do

T. C. Bowles.	 do

Newton Flagg.	 do

Daniel Stinson.	 do

E. M. Camp.	 do

G. A. Flagg.	 do

Joseph T. Powers.	 do

A. Webster.	 do

A. W. Wills.	 do

John R. Craig.	 do

C. E. Walbridge.	 do

C. S. McEntee.	 do

Q. I. Drake.	 Berevet captain.	 Lieutenant, 12th

 	 Illinois

 	 Volunteers.

